p m strat1 strat2 strat3 
0 60 0 0 275 
1 60 60 60 345 
2 60 119 117 393 
3 60 177 122 392 
4 60 234 142 391 
5 60 290 178 423 
6 60 345 181 415 
7 60 399 187 465 
8 60 452 215 446 
9 60 504 219 463 
10 60 555 237 428 
11 60 605 231 462 
12 60 654 248 482 
13 60 702 252 491 
14 60 749 260 487 
15 60 795 267 497 
16 60 840 278 517 
17 60 884 291 537 
18 60 927 302 516 
19 60 969 319 528 
20 60 1010 311 525 
21 60 1050 322 520 
22 60 1089 334 542 
23 60 1127 341 537 
24 60 1164 341 570 
25 60 1200 352 560 
26 60 1235 364 573 
27 60 1269 363 581 
28 60 1302 375 607 
29 60 1334 377 608 
30 60 1365 389 619 
31 60 1395 392 610 
32 60 1424 400 606 
33 60 1452 410 630 
34 60 1479 419 631 
35 60 1505 420 639 
36 60 1530 420 643 
37 60 1554 442 638 
38 60 1577 444 665 
39 60 1599 446 667 
40 60 1620 456 690 
41 60 1640 464 681 
42 60 1659 474 678 
43 60 1677 476 687 
44 60 1694 484 697 
45 60 1710 486 693 
46 60 1725 492 700 
47 60 1739 500 714 
48 60 1752 511 727 
49 60 1764 520 738 
50 60 1775 527 742 
51 60 1785 525 732 
52 60 1794 536 748 
53 60 1802 540 763 
54 60 1809 548 769 
55 60 1815 550 771 
56 60 1820 560 785 
57 60 1824 565 789 
58 60 1827 575 789 
59 60 1829 580 806 
60 60 1830 591 819 
