i Merge QuicksortNaive QuicksortRandom 
1 0 0 0 
2 1 1 1 
3 3 3 3 
4 4 6 4 
5 7 10 9 
6 9 15 9 
7 11 21 14 
8 12 28 14 
9 16 36 23 
10 19 45 25 
11 22 55 26 
12 24 66 37 
13 27 78 34 
14 29 91 39 
15 31 105 47 
16 32 120 74 
17 37 136 55 
18 41 153 67 
19 45 171 69 
20 48 190 73 
21 52 210 77 
22 55 231 81 
23 58 253 84 
24 60 276 97 
25 64 300 137 
26 67 325 134 
27 70 351 118 
28 72 378 106 
29 75 406 128 
30 77 435 127 
31 79 465 141 
32 80 496 125 
33 86 528 170 
34 91 561 133 
35 96 595 126 
36 100 630 144 
37 105 666 172 
38 109 703 159 
39 113 741 161 
40 116 780 203 
41 121 820 184 
42 125 861 214 
43 129 903 192 
44 132 946 208 
45 136 990 246 
46 139 1035 263 
47 142 1081 278 
48 144 1128 251 
49 149 1176 234 
50 153 1225 268 
51 157 1275 285 
52 160 1326 270 
53 164 1378 287 
54 167 1431 311 
55 170 1485 350 
56 172 1540 385 
57 176 1596 320 
58 179 1653 308 
59 182 1711 303 
60 184 1770 412 
61 187 1830 408 
62 189 1891 308 
63 191 1953 353 
64 192 2016 387 
65 199 2080 391 
66 205 2145 368 
67 211 2211 343 
68 216 2278 392 
69 222 2346 359 
70 227 2415 356 
71 232 2485 398 
72 236 2556 458 
73 242 2628 458 
74 247 2701 418 
75 252 2775 433 
76 256 2850 423 
77 261 2926 409 
78 265 3003 480 
79 269 3081 553 
80 272 3160 492 
81 278 3240 452 
82 283 3321 444 
83 288 3403 641 
84 292 3486 500 
85 297 3570 505 
86 301 3655 505 
87 305 3741 542 
88 308 3828 550 
89 313 3916 534 
90 317 4005 552 
91 321 4095 577 
92 324 4186 578 
93 328 4278 637 
94 331 4371 548 
95 334 4465 642 
96 336 4560 579 
97 342 4656 562 
98 347 4753 574 
99 352 4851 593 
100 356 4950 615 
