i Merge QuicksortNaive QuicksortRandom 
1 0 0 0 
2 1 1 1 
3 3 3 3 
4 4 6 4 
5 7 6 6 
6 10 9 11 
7 13 15 12 
8 15 15 15 
9 21 20 18 
10 25 23 29 
11 24 41 27 
12 31 29 26 
13 34 33 33 
14 38 39 51 
15 39 63 38 
16 44 54 44 
17 53 60 55 
18 55 60 89 
19 57 53 79 
20 61 92 59 
21 69 79 74 
22 70 96 77 
23 77 87 95 
24 80 90 79 
25 87 89 97 
26 89 106 103 
27 98 118 108 
28 103 111 107 
29 108 128 122 
30 104 126 122 
31 119 148 151 
32 123 141 174 
33 126 144 143 
34 135 147 147 
35 133 159 189 
36 143 170 143 
37 144 234 165 
38 153 156 184 
39 158 197 165 
40 167 193 172 
41 175 183 219 
42 177 196 190 
43 185 186 255 
44 188 225 197 
45 192 210 207 
46 201 196 206 
47 200 222 234 
48 208 236 230 
49 213 271 246 
50 228 218 266 
51 227 229 251 
52 232 253 256 
53 241 288 273 
54 246 295 306 
55 259 288 308 
56 260 301 270 
57 262 334 330 
58 272 358 313 
59 272 304 375 
60 286 365 315 
61 284 349 299 
62 301 342 382 
63 295 344 379 
64 309 416 413 
65 313 353 402 
66 316 343 340 
67 326 354 334 
68 333 356 388 
69 340 386 355 
70 350 344 367 
71 348 430 414 
72 366 468 358 
73 342 414 508 
74 370 465 427 
75 376 399 426 
76 387 404 423 
77 390 462 427 
78 398 419 507 
79 408 562 466 
80 410 478 479 
81 412 481 437 
82 420 468 457 
83 432 451 477 
84 432 452 496 
85 432 475 493 
86 454 479 590 
87 461 548 533 
88 461 521 590 
89 470 476 526 
90 469 687 516 
91 476 484 539 
92 486 555 630 
93 500 580 670 
94 499 752 513 
95 501 531 641 
96 522 642 549 
97 522 673 603 
98 535 617 604 
99 537 719 653 
100 540 663 711 
